,ID,Count
0,18288,411.72119590902946
1,18289,328.57505448327237
2,18290,278.0756996680157
3,18291,229.76401612047306
4,18292,193.39306671643934
5,18293,173.1186952019396
6,18294,186.14960666614905
7,18295,215.88437600390654
8,18296,248.6043288775415
9,18297,321.2511115435345
10,18298,455.979468478935
11,18299,505.5130286208198
12,18300,510.8687990822467
13,18301,451.82362473290993
14,18302,483.1095188491138
15,18303,477.0074525037177
16,18304,464.8325863181791
17,18305,475.6611932620474
18,18306,487.3677953635266
19,18307,517.1464644591649
20,18308,496.95989246042586
21,18309,463.8594750184931
22,18310,465.5422990705808
23,18311,454.53809309519056
24,18312,392.3507976566001
25,18313,313.1164632705894
26,18314,264.99297014033175
27,18315,218.95422410453193
28,18316,184.2944321093841
29,18317,164.97391639452684
30,18318,177.39175778325335
31,18319,205.72758451193576
32,18320,236.90814975078138
33,18321,306.1370925630573
34,18322,434.52683502909053
35,18323,481.72997158253077
36,18324,486.83376714488224
37,18325,430.56651278945185
38,18326,460.38048795968996
39,18327,454.56550776979793
40,18328,442.9634369832508
41,18329,453.2825864809007
42,18330,464.4384237756575
43,18331,492.81608489419546
44,18332,473.57923795904844
45,18333,442.0361080081235
46,18334,443.63975961924484
47,18335,433.1532725621738
48,18336,377.92362160852997
49,18337,301.60282199310257
50,18338,255.24888333191987
51,18339,210.90303329138246
52,18340,177.51772047122319
53,18341,158.90764164912258
54,18342,170.86886517209678
55,18343,198.1627519757835
56,18344,228.196773084565
57,18345,294.88009052398604
58,18346,418.5487990877382
59,18347,464.0162237090375
60,18348,468.93234702111897
61,18349,414.73410231005755
62,18350,443.45178438992116
63,18351,437.8506275015661
64,18352,426.6751777866708
65,18353,436.614880658092
66,18354,447.3605053839529
67,18355,474.6946882803618
68,18356,456.1652016437048
69,18357,425.78194773133305
70,18358,427.3266312856756
71,18359,417.2257440433667
72,18360,262.6300538393088
73,18361,209.5925230632585
74,18362,177.37983057678372
75,18363,146.56261694476507
76,18364,123.36219759526256
77,18365,110.42951563640682
78,18366,118.74171576947154
79,18367,137.7090270220118
80,18368,158.5805368451813
81,18369,204.92070255051433
82,18370,290.8616645102283
83,18371,322.45829275326435
84,18372,325.8746490123342
85,18373,288.2107214020977
86,18374,308.16746916682786
87,18375,304.2750632651008
88,18376,296.5089200750843
89,18377,303.4163070469739
90,18378,310.8837524219897
91,18379,329.8790665946864
92,18380,317.00239047614303
93,18381,295.8881886782857
